cumomers	Sed7P.GA3P:759	Sed7P.GA3P:975	Sed7P.GA3P:751	Xul5P.Ery4P:510	Xul5P.Rib5P:1018	Xul5P.Rib5P:703	Sed7P.GA3P:990	Xul5P.Rib5P:1011	Xul5P.Rib5P:1013	Xul5P.Rib5P:1014	Xul5P.Rib5P:1017	Sed7P.GA3P:447	Sed7P.GA3P:879	Xul5P.Rib5P:495	Xul5P.Rib5P:955	Xul5P.Rib5P:957	Xul5P.Rib5P:951	Xul5P.Ery4P:383	Xul5P.Rib5P:958	Xul5P.Ery4P:509	Xul5P.Rib5P:735	Xul5P.Ery4P:503	Xul5P.Ery4P:507	Xul5P.Rib5P:639	Xul5P.Rib5P:1003	Xul5P.Rib5P:1006	Xul5P.Rib5P:1005	Sed7P.GA3P:510	Xul5P.Rib5P:383	Xul5P.Rib5P:943	Xul5P.Rib5P:927	Sed7P.GA3P:735	Sed7P.GA3P:509	Sed7P.GA3P:999	Sed7P.GA3P:503	Sed7P.GA3P:507	Xul5P.Rib5P:831	Xul5P.Rib5P:447	Xul5P.Rib5P:255	Xul5P.Rib5P:759	Xul5P.Rib5P:990	Xul5P.Rib5P:751	Xul5P.Rib5P:999	Sed7P.GA3P:989	Sed7P.GA3P:987	Sed7P.GA3P:983	Sed7P.GA3P:639	Sed7P.GA3P:495	Xul5P.Rib5P:510	Sed7P.GA3P:958	Xul5P.Rib5P:987	Xul5P.Rib5P:983	Xul5P.Rib5P:989	Sed7P.GA3P:831	Xul5P.Rib5P:1020	Xul5P.Ery4P:495	Sed7P.GA3P:894	Xul5P.Ery4P:255	Sed7P.GA3P:1020	Xul5P.Rib5P:503	Sed7P.GA3P:887	Xul5P.Rib5P:507	Sed7P.GA3P:927	Xul5P.Rib5P:509	Sed7P.GA3P:1018	Xul5P.Rib5P:863	Sed7P.GA3P:1011	Sed7P.GA3P:1013	Sed7P.GA3P:1014	Sed7P.GA3P:1017	Sed7P.GA3P:893	Xul5P.Ery4P:479	Sed7P.GA3P:891	Xul5P.Rib5P:479	Sed7P.GA3P:951	Sed7P.GA3P:957	Sed7P.GA3P:955	Xul5P.Rib5P:766	Xul5P.Rib5P:765	Sed7P.GA3P:383	Xul5P.Rib5P:763	Xul5P.Rib5P:887	Sed7P.GA3P:1006	Sed7P.GA3P:1005	Sed7P.GA3P:1003	Sed7P.GA3P:703	Xul5P.Rib5P:879	Sed7P.GA3P:255	Xul5P.Rib5P:975	Xul5P.Ery4P:447	Sed7P.GA3P:765	Sed7P.GA3P:943	Sed7P.GA3P:766	Sed7P.GA3P:763	Xul5P.Rib5P:894	Xul5P.Rib5P:891	Xul5P.Rib5P:893	Sed7P.GA3P:479	Sed7P.GA3P:863	b
Xul5P.Rib5P:1017	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(GA3P:1*Sed7P:127)+ppp5.f.fwd*(Rib5P:25*Xul5P:31)
Sed7P.GA3P:447	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:6*Fru6P:63)+ppp6.f.fwd*(Sed7P:63*GA3P:3)
Sed7P.GA3P:879	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Fru6P:47*Ery4P:13)+ppp6.f.fwd*(Sed7P:111*GA3P:6)
Xul5P.Rib5P:495	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:61*GA3P:7)+ppp5.f.fwd*(Rib5P:15*Xul5P:15)
Xul5P.Rib5P:955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:119*GA3P:3)+ppp5.f.fwd*(Xul5P:29*Rib5P:27)
Xul5P.Rib5P:957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:119*GA3P:5)+ppp5.f.fwd*(Xul5P:29*Rib5P:29)
Xul5P.Rib5P:951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:118*GA3P:7)+ppp5.f.fwd*(Xul5P:29*Rib5P:23)
Xul5P.Ery4P:383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.f.rev+ppp4.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.s.rev*(GA3P:5*Fru6P:63)+ppp4.f.fwd*(Ery4P:15*Xul5P:23)
Xul5P.Rib5P:958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:119*GA3P:6)+ppp5.f.fwd*(Xul5P:29*Rib5P:30)
Xul5P.Ery4P:509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.f.rev+ppp4.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.s.rev*(Fru6P:61*GA3P:7)+ppp4.f.fwd*(Xul5P:31*Ery4P:13)
Xul5P.Rib5P:735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:91*GA3P:7)+ppp5.f.fwd*(Xul5P:22*Rib5P:31)
Xul5P.Ery4P:503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.f.rev+ppp4.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.s.rev*(Fru6P:55*GA3P:7)+ppp4.f.fwd*(Xul5P:31*Ery4P:7)
Xul5P.Ery4P:507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.f.rev+ppp4.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp4.s.rev*(Fru6P:59*GA3P:7)+ppp4.f.fwd*(Xul5P:31*Ery4P:11)
Xul5P.Rib5P:639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:79*GA3P:7)+ppp5.f.fwd*(Xul5P:19*Rib5P:31)
Xul5P.Rib5P:1003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(GA3P:3*Sed7P:125)+ppp5.f.fwd*(Xul5P:31*Rib5P:11)
Xul5P.Rib5P:1006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:125*GA3P:6)+ppp5.f.fwd*(Rib5P:14*Xul5P:31)
Xul5P.Rib5P:1005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(GA3P:5*Sed7P:125)+ppp5.f.fwd*(Xul5P:31*Rib5P:13)
Sed7P.GA3P:510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:7*Fru6P:62)+ppp6.f.fwd*(GA3P:3*Sed7P:126)
Xul5P.Rib5P:383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(GA3P:7*Sed7P:47)+ppp5.f.fwd*(Xul5P:11*Rib5P:31)
Xul5P.Rib5P:943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(GA3P:7*Sed7P:117)+ppp5.f.fwd*(Rib5P:15*Xul5P:29)
Xul5P.Rib5P:927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:115*GA3P:7)+ppp5.f.fwd*(Xul5P:28*Rib5P:31)
Sed7P.GA3P:735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:11*Fru6P:31)+ppp6.f.fwd*(GA3P:5*Sed7P:95)
Sed7P.GA3P:509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:7*Fru6P:61)+ppp6.f.fwd*(GA3P:3*Sed7P:125)
Sed7P.GA3P:999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:15*Fru6P:39)+ppp6.f.fwd*(Sed7P:103*GA3P:7)
Sed7P.GA3P:503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Fru6P:55*Ery4P:7)+ppp6.f.fwd*(Sed7P:119*GA3P:3)
Sed7P.GA3P:507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.fwd+ppp6.f.rev	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp6.s.rev*(Ery4P:7*Fru6P:59)+ppp6.f.fwd*(Sed7P:123*GA3P:3)
Xul5P.Rib5P:831	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:103*GA3P:7)+ppp5.f.fwd*(Xul5P:25*Rib5P:31)
Xul5P.Rib5P:447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:55*GA3P:7)+ppp5.f.fwd*(Xul5P:13*Rib5P:31)
Xul5P.Rib5P:255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.f.rev+ppp5.s.fwd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ppp5.s.rev*(Sed7P:31*GA3P:7)+ppp5.f.fwd*(Xul5P:7*Rib5P:31)
